	Microbial Species	Microbial TaxID	Clade_name	Kingdom	Phylum	Class	Order	Family	Genus	Species	#MultAlgSp	#UniAlgSp	#AlgSpTot	Chlamydomonas_asymmetrica	Chlamydomonas_callosa	Chlamydomonas_cribrum	Chlamydomonas_fottii	Chlamydomonas_globosa	Chlamydomonas_isabeliensis	Chlamydomonas_latifons	Chlamydomonas_parallestriata	Chlamydomonas_parallestriata_s2	Chlamydomonas_parallestriata_s3	Chlamydomonas_parallestriata_s4	Chlamydomonas_parallestriata_s5	Chlamydomonas_parallestriata_s6	Chlamydomonas_petasus	Chlamydomonas_pila	Chlamydomonas_schloesseri	Chlamydomonas_sp.	Chlamydomonas_typica	Chlamydomonas_typica_s2	Chlamydomonas_zebra	Eudorina_elegans	Eudorina_unicocca	Haematococcus_lacustris	Lobomonas_rostrata	Microglena_globulifera	Pandorina_morum	Pandorina_sp.	Paulschulzia_pseudovolvox	Tetrabaena_socialis	Tetraspora_cylindrica	Vitreochlamys_aulata	Vitreochlamys_fluviatilis	Vitreochlamys_ordinata	Vitreochlamys_ordinata_s2	Vitreochlamys_spec.	Volvox_aureus	Volvox_barberi	Volvox_giga	Volvox_globator	Volvox_sp.	Volvox_tertius
11	Aquaspirillum sp. LM1	1938604	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquaspirillum|s__Aquaspirillum_sp_LM1	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Chromobacteriaceae	g__Aquaspirillum	s__Aquaspirillum_sp_LM1	0	1	1	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	Brevundimonas vitisensis	2800818	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_vitisensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas_vitisensis	1	6	7	0	0	0.382	0	0	0	0	0	0	0	0	0.0141	0	0.0364	0	0.023	0	0.0147	0	0	0	0	0	0	0.0032	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0
14	Paracoccus sanguinis	1545044	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_sanguinis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus_sanguinis	1	2	3	0	0	0.0116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008	0	0	0	0	0	0.0023	0	0	0	0	0	0	0	0	0	0	0	0
16	Polynucleobacter difficilis	556054	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter|s__Polynucleobacter_difficilis	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__Polynucleobacter_difficilis	3	5	8	0	0	0.0166	0	0	0	0	0	0.4388	0	0.2544	0.5094	0	0	0	0	0	0	0	0	0.0002	0	0	0	0.1154	0	0.6384	0	0.7348	0	0	0	0	0	0	0	0	0	0	0	0
17	Acidovorax sp. RAC01	1842533	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_sp_RAC01	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax	s__Acidovorax_sp_RAC01	4	8	12	0	0	0.0054	0	0.5376	0	0	0	0	0.6374	0	0	0	0.0006	0.6311	0	0	0	0	0.0207	0.1669	0	0.0004	0	0	0	0.0004	0	0	0	0	0.27	0	0	0	0.0045	0	0	0	0	0.1121
18	Hylemonella gracilis	80880	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hylemonella|s__Hylemonella_gracilis	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Hylemonella	s__Hylemonella_gracilis	2	3	5	0	0	0.0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004	0	0.0006	0	0	0	0	0	0.1658	0	0	0	0	0	0.0344	0	0	0	0	0	0	0	0
19	Brevibacterium sp. CS2	2575923	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_CS2	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_sp_CS2	1	1	2	0	0	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
24	Pseudomonas rhodesiae	76760	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_rhodesiae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_rhodesiae	1	1	2	0	0	0	0.0283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Pseudomonas marginalis	298	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_marginalis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_marginalis	3	1	4	0	0	0	0.0313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0	0	0	0.027	0	0	0	0	0.1398
26	Pseudomonas extremorientalis	169669	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_extremorientalis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_extremorientalis	1	1	2	0	0	0	0.0158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0
27	Pseudomonas proteolytica	219574	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_proteolytica	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_proteolytica	2	2	4	0	0	0	0.2496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0639	0	0	0	0	0	0	0	0	0.1424	0	0	0	0	0	0	0	0	0	0	0.785	0	0
28	Pseudomonas lurida	244566	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lurida	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_lurida	1	1	2	0	0	0	0.2132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0	0	0	0	0	0	0	0	0	0	0	0	0
29	Pseudomonas simiae	321846	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_simiae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_simiae	1	1	2	0	0	0	0.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0044	0	0	0	0	0	0	0	0	0	0	0	0	0
30	Pseudomonas viridiflava	33069	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_viridiflava	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_viridiflava	2	2	4	0	0	0	0.1028	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0	0	0.0176	0	0	0	0	0
31	Pseudomonas palleroniana	191390	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_palleroniana	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_palleroniana	1	1	2	0	0	0	0.0234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0	0	0	0	0	0	0	0	0
32	Pseudomonas yamanorum	515393	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_yamanorum	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_yamanorum	1	1	2	0	0	0	0.0122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0
34	Bosea vaviloviae	1526658	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_vaviloviae	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Boseaceae	g__Bosea	s__Bosea_vaviloviae	4	8	12	0	0	0	0.0162	0	0	0.0026	0	0	0	0	0.0028	0	0	0	0	0	0.004	0.0101	0	0.0016	0.0106	0	0.1625	0.0068	0	0	0.0074	0	0.0092	0.0106	0	0	0	0	0	0	0	0	0	0
35	Paracoccus yeei	147645	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_yeei	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus_yeei	2	3	5	0	0	0	0.011	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0	0	0.2053	0	0	0	0	0	0	0	0.0164	0	0	0
38	Porphyrobacter sp. CACIAM 03H1	2003315	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter|s__Porphyrobacter_sp_CACIAM_03H1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Porphyrobacter	s__Porphyrobacter_sp_CACIAM_03H1	3	8	11	0	0	0	0	0.0721	0.0072	0.0099	0	0	0	0	0.0437	0	0.0391	0	0.0027	0	0.0488	0	0	0.0194	0	0.0854	0	0	0.0096	0	0	0	0	0	0	0	0	0	0.0124	0	0	0	0	0
39	Porphyrobacter sp. HT-58-2	2023229	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter|s__Porphyrobacter_sp_HT_58_2	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Porphyrobacter	s__Porphyrobacter_sp_HT_58_2	2	7	9	0	0	0	0	0.0614	0.0064	0	0	0	0	0	0.0383	0	0.0399	0	0.0026	0	0.0412	0	0	0.0164	0	0.0728	0	0	0	0	0	0	0	0	0	0	0	0	0.0116	0	0	0	0	0
40	Porphyrobacter sp. LM 6	1896196	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter|s__Porphyrobacter_sp_LM_6	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Porphyrobacter	s__Porphyrobacter_sp_LM_6	2	7	9	0	0	0	0	0.0497	0.0058	0.0087	0	0	0	0	0.0308	0	0.0346	0	0	0	0.0338	0	0	0.0132	0	0.0598	0	0	0	0	0	0	0	0	0	0	0	0	0.0103	0	0	0	0	0
41	Erythrobacter neustonensis	1112	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter_neustonensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Erythrobacter	s__Erythrobacter_neustonensis	1	6	7	0	0	0	0	0.0512	0	0	0	0	0	0	0.0302	0	0.0346	0	0.0023	0	0.0346	0	0	0.0136	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	Erythrobacter aurantius	2909249	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter_sp_C5	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Erythrobacter	s__Erythrobacter_sp_C5	1	7	8	0	0	0	0	0.0064	0.001	0.0017	0	0	0	0	0.0038	0	0.0086	0	0.0019	0	0	0	0	0.0018	0	0.0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	Tsuneonella dongtanensis	692370	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Tsuneonella|s__Tsuneonella_dongtanensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Tsuneonella	s__Tsuneonella_dongtanensis	0	4	4	0	0	0	0	0.0006	0	0	0	0	0	0	0.0004	0	0	0	0	0	0.0007	0	0	0	0	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	Blastomonas fulva	1550728	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Blastomonas|s__Blastomonas_fulva	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Blastomonas	s__Blastomonas_fulva	5	11	16	0	0	0	0	0.1755	0.0006	0.0018	0	0	0	0	0	0	0.001	0	0.0005	0.0012	0.2353	0	0	0.1879	0	0.3756	0	0.1413	0.0014	0	0	0.0612	0	0	0.2927	0	0.0007	0	0.0417	0	0	0	0.0009	0
45	Sphingomonas sp. LaA6.9	2919914	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_LaA6_9	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_sp_LaA6_9	1	4	5	0	0	0	0	0.0007	0	0	0	0	0	0	0.0012	0	0	0	0	0	0.0006	0	0	0.0002	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	Sphingomonas lacunae	2698828	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_lacunae	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_lacunae	1	6	7	0	0	0	0	0.006	0	0	0	0.0004	0	0	0.0118	0	0	0	0	0	0.0054	0	0	0.0021	0	0.013	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0
47	Sphingomonas changnyeongensis	2698679	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_changnyeongensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_changnyeongensis	2	4	6	0	0	0	0	0.001	0	0	0	0	0	0	0.0008	0	0	0	0	0	0.0016	0	0	0.0004	0	0.0014	0	0	0	0	0	0.0077	0	0	0	0	0	0	0	0	0	0	0	0
48	Novosphingobium sp. Gsoil 351	2675225	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium_sp_Gsoil_351	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium_sp_Gsoil_351	1	4	5	0	0	0	0	0.0006	0	0	0	0	0	0	0.0006	0	0	0	0	0	0.0009	0	0	0.0002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	Sphingopyxis fribergensis	1515612	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_fribergensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis_fribergensis	3	10	13	0	0	0	0	0.021	0	0	0	0.0838	0.0211	0	0.0692	0	0.0002	0	0	0	0.0628	0	0	0.0222	0	0.0467	0	0.0106	0	0	0.0002	0	0	0	0.038	0.1391	0	0	0.0078	0	0	0	0	0
50	Hankyongella ginsenosidimutans	1763828	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Hankyongella|s__Hankyongella_ginsenosidimutans	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Hankyongella	s__Hankyongella_ginsenosidimutans	0	4	4	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0.0004	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
51	Rhizobium rosettiformans	1368430	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_rosettiformans	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium_rosettiformans	2	7	9	0	0	0	0	0.001	0.034	0.0002	0	0	0	0	0	0	0	0	0.0054	0	0.0024	0	0	0.0036	0	0.0032	0	0	0	0	0.0001	0	0	0	0.0307	0	0	0	0	0	0	0	0	0
52	Agrobacterium sp. MA01	2664893	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium_sp_MA01	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium_sp_MA01	4	6	10	0	0	0	0	0.0053	0.2162	0	0	0	0	0	0	0	0	0	0.0948	0	0.012	0	0	0.0062	0	0.0024	0	0	0.0097	0	0.0	0	0	0	0.0527	0	0	0	0.0009	0	0	0	0	0
54	Ferrovibrio terrae	2594003	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Ferrovibrio|s__Ferrovibrio_terrae	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Ferrovibrio	s__Ferrovibrio_terrae	2	5	7	0	0	0	0	0.0001	0	0	0	0	0	0	0.0002	0	0	0	0	0	0.0003	0	0	0.0001	0	0.0004	0	0	0	0	0	0	0	0	0.0008	0	0	0	0.0113	0	0	0	0	0
