	Microbial Species	Microbial TaxID	Clade_name	Kingdom	Phylum	Class	Order	Family	Genus	Species	#MultAlgSp	#UniAlgSp	#AlgSpTot	Chlamydomonas_asymmetrica	Chlamydomonas_callosa	Chlamydomonas_cribrum	Chlamydomonas_fottii	Chlamydomonas_globosa	Chlamydomonas_isabeliensis	Chlamydomonas_latifons	Chlamydomonas_parallestriata	Chlamydomonas_parallestriata_s2	Chlamydomonas_parallestriata_s3	Chlamydomonas_parallestriata_s4	Chlamydomonas_parallestriata_s5	Chlamydomonas_parallestriata_s6	Chlamydomonas_petasus	Chlamydomonas_pila	Chlamydomonas_schloesseri	Chlamydomonas_sp.	Chlamydomonas_typica	Chlamydomonas_typica_s2	Chlamydomonas_zebra	Eudorina_elegans	Eudorina_unicocca	Haematococcus_lacustris	Lobomonas_rostrata	Microglena_globulifera	Pandorina_morum	Pandorina_sp.	Paulschulzia_pseudovolvox	Tetrabaena_socialis	Tetraspora_cylindrica	Vitreochlamys_aulata	Vitreochlamys_fluviatilis	Vitreochlamys_ordinata	Vitreochlamys_ordinata_s2	Vitreochlamys_spec.	Volvox_aureus	Volvox_barberi	Volvox_giga	Volvox_globator	Volvox_sp.	Volvox_tertius
11	Aquaspirillum sp. LM1	1938604	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquaspirillum|s__Aquaspirillum_sp_LM1	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Chromobacteriaceae	g__Aquaspirillum	s__Aquaspirillum_sp_LM1	0	1	1	0	159.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	Brevundimonas vitisensis	2800818	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_vitisensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas_vitisensis	1	6	7	0	0	9578.5	0	0	0	0	0	0	0	0	44812.0	0	114832.5	0	34295.5	0	75412.5	0	0	0	0	0	0	3973.5	0	0	42058.0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	Paracoccus sanguinis	1545044	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_sanguinis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus_sanguinis	1	2	3	0	0	279.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5573.5	0	0	0	0	0	3875.0	0	0	0	0	0	0	0	0	0	0	0	0
16	Polynucleobacter difficilis	556054	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter|s__Polynucleobacter_difficilis	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__Polynucleobacter_difficilis	3	5	8	0	0	323.5	0	0	0	0	0	393999.5	0	118869.0	578780.0	0	0	0	0	0	0	0	0	288.0	0	0	0	99379.0	0	423204.5	0	645231.5	0	0	0	0	0	0	0	0	0	0	0	0
17	Acidovorax sp. RAC01	1842533	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_sp_RAC01	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax	s__Acidovorax_sp_RAC01	4	8	12	0	0	130.0	0	1188675.5	0	0	0	0	364078.0	0	0	0	1993.5	165.5	0	0	0	0	169.0	235122.0	0	1695.5	0	0	0	467.5	0	0	0	0	353169.5	0	0	0	693.0	0	0	0	0	143.5
18	Hylemonella gracilis	80880	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hylemonella|s__Hylemonella_gracilis	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Hylemonella	s__Hylemonella_gracilis	2	3	5	0	0	165.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811.5	0	1356.0	0	0	0	0	0	113299.0	0	0	0	0	0	7153.5	0	0	0	0	0	0	0	0
19	Brevibacterium sp. CS2	2575923	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_CS2	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_sp_CS2	1	1	2	0	0	83.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122.0	0	0	0	0	0	0	0	0	0	0	0	0
24	Pseudomonas rhodesiae	76760	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_rhodesiae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_rhodesiae	1	1	2	0	0	0	488.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2051.0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Pseudomonas marginalis	298	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_marginalis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_marginalis	3	1	4	0	0	0	756.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1996.0	0	0	0	0	0	0	0	7323.0	0	0	0	0	174.0
26	Pseudomonas extremorientalis	169669	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_extremorientalis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_extremorientalis	1	1	2	0	0	0	336.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890.5	0	0	0	0	0	0	0	0	0	0	0	0	0
27	Pseudomonas proteolytica	219574	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_proteolytica	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_proteolytica	2	2	4	0	0	0	8567.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291598.0	0	0	0	0	0	0	0	0	786790.0	0	0	0	0	0	0	0	0	0	0	74070.0	0	0
28	Pseudomonas lurida	244566	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lurida	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_lurida	1	1	2	0	0	0	3988.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16279.0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	Pseudomonas simiae	321846	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_simiae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_simiae	1	1	2	0	0	0	4647.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20595.5	0	0	0	0	0	0	0	0	0	0	0	0	0
30	Pseudomonas viridiflava	33069	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_viridiflava	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_viridiflava	2	2	4	0	0	0	3452.5	0	0	0	0	0	0	0	0	0	0	0	297.0	0	0	0	0	0	0	0	0	0	0	0	13209.5	0	0	0	0	0	0	0	4722.0	0	0	0	0	0
31	Pseudomonas palleroniana	191390	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_palleroniana	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_palleroniana	1	1	2	0	0	0	405.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1812.0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	Pseudomonas yamanorum	515393	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_yamanorum	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_yamanorum	1	1	2	0	0	0	281.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825.0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	Bosea vaviloviae	1526658	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_vaviloviae	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Boseaceae	g__Bosea	s__Bosea_vaviloviae	4	8	12	0	0	0	282.5	0	0	4658.0	0	0	0	0	8956.0	0	0	0	0	0	14216.0	38560.0	0	2586.0	54724.5	0	592.5	5643.5	0	0	35533.5	0	8039.5	17531.5	0	0	0	0	0	0	0	0	0	0
35	Paracoccus yeei	147645	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_yeei	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus_yeei	2	3	5	0	0	0	192.5	0	1922.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3924.5	0	0	0	0	0	0	168038.0	0	0	0	0	0	0	0	127.5	0	0	0
38	Porphyrobacter sp. CACIAM 03H1	2003315	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter|s__Porphyrobacter_sp_CACIAM_03H1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Porphyrobacter	s__Porphyrobacter_sp_CACIAM_03H1	3	8	11	0	0	0	0	221956.5	8247.5	17394.0	0	0	0	0	142695.5	0	121177.0	0	3738.5	0	249185.0	0	0	48589.5	0	539303.5	0	0	3374.0	0	0	0	0	0	0	0	0	0	1780.0	0	0	0	0	0
39	Porphyrobacter sp. HT-58-2	2023229	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter|s__Porphyrobacter_sp_HT_58_2	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Porphyrobacter	s__Porphyrobacter_sp_HT_58_2	2	7	9	0	0	0	0	187132.5	7728.5	0	0	0	0	0	120751.5	0	125274.5	0	3731.5	0	209622.5	0	0	40379.0	0	452918.5	0	0	0	0	0	0	0	0	0	0	0	0	1636.0	0	0	0	0	0
40	Porphyrobacter sp. LM 6	1896196	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter|s__Porphyrobacter_sp_LM_6	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Porphyrobacter	s__Porphyrobacter_sp_LM_6	2	7	9	0	0	0	0	153046.5	6971.0	15855.5	0	0	0	0	99190.5	0	109295.5	0	0	0	172434.0	0	0	33019.5	0	376136.5	0	0	0	0	0	0	0	0	0	0	0	0	1466.0	0	0	0	0	0
41	Erythrobacter neustonensis	1112	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter_neustonensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Erythrobacter	s__Erythrobacter_neustonensis	1	6	7	0	0	0	0	158162.5	0	0	0	0	0	0	101321.0	0	109106.5	0	3450.0	0	177591.0	0	0	34316.5	0	383221.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	Erythrobacter aurantius	2909249	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter_sp_C5	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Erythrobacter	s__Erythrobacter_sp_C5	1	7	8	0	0	0	0	19806.0	1240.5	3095.5	0	0	0	0	13046.5	0	26377.5	0	2115.0	0	0	0	0	4377.5	0	48632.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	Tsuneonella dongtanensis	692370	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Tsuneonella|s__Tsuneonella_dongtanensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Tsuneonella	s__Tsuneonella_dongtanensis	0	4	4	0	0	0	0	1839.5	0	0	0	0	0	0	1408.5	0	0	0	0	0	3705.0	0	0	0	0	5045.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	Blastomonas fulva	1550728	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Blastomonas|s__Blastomonas_fulva	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Blastomonas	s__Blastomonas_fulva	5	11	16	0	0	0	0	288358.0	689.5	3315.5	0	0	0	0	0	0	3201.0	0	377.0	139.5	661665.5	0	0	172700.5	0	733436.0	0	176476.0	504.0	0	0	105656.0	0	0	557194.0	0	165.0	0	10440.0	0	0	0	1615.5	0
45	Sphingomonas sp. LaA6.9	2919914	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_LaA6_9	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_sp_LaA6_9	1	4	5	0	0	0	0	1726.5	0	0	0	0	0	0	1542.5	0	0	0	0	0	2607.0	0	0	379.5	0	5432.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	Sphingomonas lacunae	2698828	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_lacunae	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_lacunae	1	6	7	0	0	0	0	12864.5	0	0	0	1321.0	0	0	10209.0	0	0	0	0	0	20389.5	0	0	2938.5	0	36781.5	0	0	0	0	0	0	0	0	139.0	0	0	0	0	0	0	0	0	0
47	Sphingomonas changnyeongensis	2698679	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_changnyeongensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_changnyeongensis	2	4	6	0	0	0	0	3294.0	0	0	0	0	0	0	2703.5	0	0	0	0	0	7900.0	0	0	850.0	0	8775.0	0	0	0	0	0	13482.5	0	0	0	0	0	0	0	0	0	0	0	0
48	Novosphingobium sp. Gsoil 351	2675225	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium_sp_Gsoil_351	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium_sp_Gsoil_351	1	4	5	0	0	0	0	1672.0	0	0	0	0	0	0	1527.5	0	0	0	0	0	4214.0	0	0	491.0	0	5188.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	Sphingopyxis fribergensis	1515612	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_fribergensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis_fribergensis	3	10	13	0	0	0	0	34678.0	0	0	0	201842.5	20952.0	0	162645.0	0	765.5	0	0	0	239694.0	0	0	21122.0	0	93197.5	0	13214.0	0	0	882.0	0	0	0	70729.0	72909.0	0	0	1753.5	0	0	0	0	0
50	Hankyongella ginsenosidimutans	1763828	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Hankyongella|s__Hankyongella_ginsenosidimutans	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Hankyongella	s__Hankyongella_ginsenosidimutans	0	4	4	0	0	0	0	668.0	0	0	0	0	0	0	0	0	0	0	0	0	1787.0	0	0	0	0	2403.0	0	0	0	0	0	0	0	0	78.0	0	0	0	0	0	0	0	0	0
51	Rhizobium rosettiformans	1368430	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_rosettiformans	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium_rosettiformans	2	7	9	0	0	0	0	3055.5	40672.5	236.5	0	0	0	0	0	0	0	0	6878.5	0	12323.5	0	0	9077.5	0	17645.0	0	0	0	0	556.0	0	0	0	32468.0	0	0	0	0	0	0	0	0	0
52	Agrobacterium sp. MA01	2664893	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium_sp_MA01	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium_sp_MA01	4	6	10	0	0	0	0	8893.5	88831.0	0	0	0	0	0	0	0	0	0	50156.5	0	34046.0	0	0	7219.5	0	8425.0	0	0	6483.0	0	239.5	0	0	0	95201.5	0	0	0	190.5	0	0	0	0	0
54	Ferrovibrio terrae	2594003	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Ferrovibrio|s__Ferrovibrio_terrae	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Ferrovibrio	s__Ferrovibrio_terrae	2	5	7	0	0	0	0	200.0	0	0	0	0	0	0	463.5	0	0	0	0	0	1626.5	0	0	230.0	0	1985.0	0	0	0	0	0	0	0	0	902.5	0	0	0	1642.0	0	0	0	0	0
56	Acidovorax sp. HDW3	2714923	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_sp_HDW3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax	s__Acidovorax_sp_HDW3	1	2	3	0	0	0	0	3829.5	0	0	0	0	894.0	0	0	0	0	0	0	0	0	0	0	1206.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
